ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification
US43157M1027,BN7SBS2,HilleVax Inc,USD,1389,0.004137,United States,14.5,Health Care,Biotechnology
US2339121046,2251583,Daily Journal Corporation,USD,55,0.004128,United States,365.44,Information Technology,Software
US30260D1037,BMXXBD9,FIGS Inc. Class A,USD,4244,0.004097,United States,4.7,Consumer Discretionary,Textiles Apparel & Luxury Goods
US3943571071,2647751,Greene County Bancorp Inc.,USD,755,0.004032,United States,26,Financials,Banks
US04280A1007,BYQBFJ8,Arrowhead Pharmaceuticals Inc.,USD,744,0.00399,United States,26.11,Health Care,Biotechnology
US92337R1014,BL55460,Vera Therapeutics Inc. Class A,USD,518,0.00398,United States,37.41,Health Care,Biotechnology
US1572101053,2986937,CEVA Inc.,USD,853,0.00396,United States,22.6,Information Technology,Semiconductors & Semiconductor Equipment
US24344T1016,BZ1LFB2,Deciphera Pharmaceuticals Inc.,USD,1273,0.003959,United States,15.14,Health Care,Biotechnology
US80706P1030,BFZQ0L8,Scholar Rock Holding Corp.,USD,1330,0.003934,United States,14.4,Health Care,Biotechnology
US3534691098,2352839,Franklin Covey Co.,USD,510,0.003913,United States,37.35,Industrials,Professional Services
US01644J1088,BMHR7L7,Alkami Technology Inc,USD,820,0.003902,United States,23.17,Information Technology,Software
US08862E1091,BJ1FDK7,Beyond Meat Inc.,USD,2522,0.00388,United States,7.49,Consumer Staples,Food Products
US03969T1097,BKC9SX3,Arcturus Therapeutics Holdings Inc.,USD,614,0.003859,United States,30.6,Health Care,Biotechnology
US8292141053,2122560,Simulations Plus Inc.,USD,392,0.003828,United States,47.54,Health Care,Health Care Technology
US7731221062,BM8Z538,Rocket Lab USA Inc.,USD,4777,0.003827,United States,3.9,Industrials,Aerospace & Defense
US88546E1055,BMYR6Y6,Thoughtworks Holding Inc,USD,7804,0.003799,United States,2.37,Information Technology,It Services
US6373722023,B8W3QK4,National Research Corporation,USD,497,0.003786,United States,37.09,Health Care,Health Care Providers & Services
US18467V1098,BLD30T1,Clear Secure Inc. Class A,USD,953,0.003772,United States,19.27,Information Technology,Software
US81752R1005,BZ0HC54,Seritage Growth Properties Class A,USD,1887,0.003736,United States,9.64,Real Estate,Real Estate Management & Development
KYG8807B1068,BMNDK09,Theravance Biopharma Inc,USD,1953,0.003666,United States,9.14,Health Care,Pharmaceuticals
US1248308785,BNTC8Y7,CBL & Associates Properties Inc.,USD,796,0.003649,United States,22.32,Real Estate,Retail Reits
KY61559X1045,BNG3F86,MoonLake Immunotherapeutics Class A,USD,385,0.003637,United States,45.99,Health Care,Biotechnology
US85209W1099,BKTNTS0,Sprout Social Inc. Class A,USD,310,0.003567,United States,56.02,Information Technology,Software
US4576693075,2614487,Insmed Incorporated,USD,628,0.003519,United States,27.28,Health Care,Biotechnology
CA45245E1097,2473859,IMAX Corporation,USD,1056,0.003483,United States,16.06,Communication Services,Entertainment
US98985Y1082,BPCQZY9,Zymeworks Inc.,USD,1744,0.00346,United States,9.66,Health Care,Biotechnology
US0536041041,BP2Q7W1,AvePoint Inc. Class A,USD,2078,0.003427,United States,8.03,Information Technology,Software
US0008991046,B9NSBM2,ADMA Biologics Inc.,USD,2653,0.003422,United States,6.28,Health Care,Biotechnology
US52466B1035,B82GC49,LegalZoom.com Inc.,USD,1243,0.003357,United States,13.15,Industrials,Professional Services
US28106W1036,BZ8FPH3,Editas Medicine Inc.,USD,2398,0.003354,United States,6.81,Health Care,Biotechnology
US92766K1060,BKWBFH2,Virgin Galactic Holdings Inc,USD,12927,0.003346,United States,1.26,Industrials,Aerospace & Defense
US98983V1061,BFXZB14,Zuora Inc. Class A,USD,1915,0.003343,United States,8.5,Information Technology,Software
US8257041090,BZ0WN34,SI-BONE Inc.,USD,1051,0.003324,United States,15.4,Health Care,Health Care Equipment & Supplies
US74276L1052,BMYRFV6,PROCEPT BioRobotics Corp.,USD,353,0.003316,United States,45.73,Health Care,Health Care Equipment & Supplies
US83193G1076,BPCHD26,SmartRent Inc Class A,USD,6288,0.003306,United States,2.56,Information Technology,Electronic Equipment Instruments & Components
US14817C1071,BJVLKZ9,Cassava Sciences Inc.,USD,771,0.003243,United States,20.48,Health Care,Pharmaceuticals
US90138Q1085,BM9CKX3,23andMe Holding Co. Class A,USD,33187,0.003211,United States,0.471,Health Care,Health Care Providers & Services
US69404D1081,B4N8MH9,Pacific Biosciences of California Inc.,USD,4677,0.003199,United States,3.33,Health Care,Life Sciences Tools & Services
US92846Q1076,BMHRMK1,Vita Coco Company Inc.,USD,606,0.003198,United States,25.69,Consumer Staples,Beverages
